OrderDate,OrderID,Customer,Segment,Region,Product,Category,SubCategory,Quantity,UnitPrice,DiscountPct,PaymentMethod,SalesChannel,Sales,COGS,Profit
2023-01-12,SO-10079,Acme Corp,Corporate,Central,Furnishings 651,Furniture,Furnishings,1,462.57,0.0,Wire,Retail,462.57,379.31,83.26
2023-01-12,SO-10083,Acme Corp,Corporate,Central,Tables 565,Furniture,Tables,1,210.62,0.0,PayPal,Retail,210.62,172.71,37.91
2023-01-12,SO-10080,Umbrella Co,Corporate,Central,Chairs 498,Furniture,Chairs,1,128.22,0.0,PayPal,Wholesale,128.22,105.14,23.08
2023-01-13,SO-10087,Aperture Labs,Home Office,East,Machines 816,Technology,Machines,1,251.13,0.05,PayPal,Retail,238.57,195.88,42.69
2023-01-13,SO-10088,Initech,Consumer,East,Chairs 692,Furniture,Chairs,1,566.59,0.0,Card,Retail,566.59,464.6,101.99
2023-01-14,SO-10096,Hooli,Consumer,Central,Tables 463,Furniture,Tables,1,347.98,0.05,PayPal,Retail,330.58,285.34,45.24
2023-01-14,SO-10092,Hooli,Corporate,South,Machines 470,Technology,Machines,1,560.4,0.05,Cash,Wholesale,532.38,437.11,95.27
2023-01-14,SO-10094,Oscorp,Corporate,Central,Phones 385,Technology,Phones,1,25.17,0.05,Cash,Online,23.91,19.63,4.28
2023-01-14,SO-10089,Tyrell Corp,Corporate,South,Paper 177,Office Supplies,Paper,1,353.86,0.15,Wire,Online,300.78,254.78,46.0
2023-01-14,SO-10091,Cyberdyne,Home Office,South,Chairs 618,Furniture,Chairs,1,526.77,0.0,PayPal,Online,526.77,431.95,94.82
2023-01-14,SO-10093,Initech,Consumer,South,Art 730,Office Supplies,Art,1,34.57,0.15,Cash,Retail,29.38,24.89,4.49
2023-01-15,SO-10104,Umbrella Co,Consumer,Central,Chairs 825,Furniture,Chairs,1,28.23,0.0,Wire,Retail,28.23,23.15,5.08
2023-01-15,SO-10108,Wonka LLC,Home Office,East,Binders 255,Office Supplies,Binders,1,13.74,0.0,Wire,Wholesale,13.74,9.89,3.85
2023-01-15,SO-10098,Oscorp,Home Office,South,Machines 761,Technology,Machines,1,15.55,0.05,Cash,Retail,14.77,12.13,2.64
2023-01-15,SO-10103,Wonka LLC,Home Office,Central,Art 202,Office Supplies,Art,1,134.87,0.0,Wire,Retail,134.87,97.11,37.76
2023-01-15,SO-10102,Umbrella Co,Consumer,Central,Paper 296,Office Supplies,Paper,1,64.17,0.0,Wire,Wholesale,64.17,46.2,17.97
2023-01-15,SO-10101,Gringotts,Corporate,South,Bookcases 336,Furniture,Bookcases,1,10.58,0.15,Card,Wholesale,8.99,8.68,0.31
2023-01-15,SO-10107,Initech,Corporate,East,Chairs 941,Furniture,Chairs,1,500.42,0.2,Card,Retail,400.34,410.34,-10.0
2023-01-15,SO-10105,Acme Corp,Home Office,East,Tables 753,Furniture,Tables,2,416.3,0.05,Cash,Online,790.97,682.74,108.23
2023-01-15,SO-10100,Aperture Labs,Corporate,Central,Art 535,Office Supplies,Art,1,550.92,0.0,PayPal,Retail,550.92,396.66,154.26
2023-01-15,SO-10097,Stark Industries,Home Office,Central,Accessories 187,Technology,Accessories,1,491.72,0.1,Wire,Wholesale,442.55,383.54,59.01
2023-01-16,SO-10113,Gringotts,Corporate,South,Accessories 395,Technology,Accessories,1,591.96,0.05,PayPal,Wholesale,562.36,461.73,100.63
2023-01-16,SO-10109,Stark Industries,Consumer,East,Machines 720,Technology,Machines,1,350.52,0.0,Wire,Wholesale,350.52,273.41,77.11
2023-01-16,SO-10111,Gringotts,Consumer,East,Paper 370,Office Supplies,Paper,2,455.22,0.05,Card,Online,864.92,655.52,209.4
2023-01-16,SO-10110,Oscorp,Corporate,South,Furnishings 412,Furniture,Furnishings,4,224.13,0.15,Card,Wholesale,762.04,735.16,26.88
2023-01-16,SO-10112,Umbrella Co,Home Office,West,Accessories 102,Technology,Accessories,1,385.7,0.05,Cash,Retail,366.42,300.85,65.57
2023-01-17,SO-10114,Hooli,Consumer,South,Paper 370,Office Supplies,Paper,2,524.5,0.0,Wire,Retail,1049.0,755.28,293.72
2023-01-17,SO-10119,Globex Ltd,Home Office,West,Binders 883,Office Supplies,Binders,1,105.2,0.0,PayPal,Wholesale,105.2,75.74,29.46
2023-01-17,SO-10116,Acme Corp,Corporate,West,Art 549,Office Supplies,Art,2,270.72,0.0,Card,Retail,541.44,389.84,151.6
2023-01-18,SO-10124,Wayne Enterprises,Corporate,East,Binders 773,Office Supplies,Binders,1,519.24,0.15,Cash,Retail,441.35,373.85,67.5
2023-01-18,SO-10123,Aperture Labs,Home Office,South,Machines 190,Technology,Machines,1,193.51,0.0,PayPal,Retail,193.51,150.94,42.57
2023-01-18,SO-10122,Aperture Labs,Consumer,East,Furnishings 810,Furniture,Furnishings,1,60.1,0.15,Cash,Retail,51.08,49.28,1.8
2023-01-18,SO-10121,Oscorp,Consumer,South,Bookcases 518,Furniture,Bookcases,1,403.22,0.05,PayPal,Retail,383.06,330.64,52.42
2023-01-18,SO-10125,Acme Corp,Home Office,West,Furnishings 740,Furniture,Furnishings,1,519.45,0.1,Cash,Online,467.51,425.95,41.56
2023-01-19,SO-10132,Gringotts,Home Office,Central,Storage 986,Office Supplies,Storage,1,358.41,0.05,Wire,Retail,340.49,258.06,82.43
2023-01-19,SO-10133,Cyberdyne,Corporate,South,Furnishings 566,Furniture,Furnishings,1,47.52,0.0,PayPal,Online,47.52,38.97,8.55
2023-01-20,SO-10139,Hooli,Corporate,South,Storage 993,Office Supplies,Storage,1,566.02,0.1,Card,Wholesale,509.42,407.53,101.89
2023-01-20,SO-10137,Globex Ltd,Consumer,South,Paper 519,Office Supplies,Paper,2,392.03,0.05,Wire,Online,744.86,564.52,180.34
2023-01-20,SO-10135,Wayne Enterprises,Home Office,South,Furnishings 779,Furniture,Furnishings,1,336.16,0.0,Wire,Retail,336.16,275.65,60.51
2023-01-20,SO-10136,Acme Corp,Home Office,West,Art 990,Office Supplies,Art,1,389.11,0.0,Card,Retail,389.11,280.16,108.95
2023-01-20,SO-10140,Globex Ltd,Home Office,West,Art 332,Office Supplies,Art,1,157.29,0.0,Card,Retail,157.29,113.25,44.04
2023-01-20,SO-10142,Pied Piper,Corporate,East,Bookcases 541,Furniture,Bookcases,1,105.9,0.2,Wire,Online,84.72,86.84,-2.12
2023-01-20,SO-10143,Cyberdyne,Home Office,South,Paper 274,Office Supplies,Paper,1,559.71,0.15,Wire,Online,475.75,402.99,72.76
2023-01-20,SO-10145,Wonka LLC,Corporate,Central,Chairs 923,Furniture,Chairs,1,209.62,0.0,Cash,Retail,209.62,171.89,37.73
2023-01-21,SO-10151,Stark Industries,Home Office,West,Phones 416,Technology,Phones,1,188.9,0.0,Cash,Online,188.9,147.34,41.56
2023-01-21,SO-10148,Umbrella Co,Home Office,South,Bookcases 816,Furniture,Bookcases,1,158.05,0.0,PayPal,Online,158.05,129.6,28.45
2023-01-21,SO-10150,Pied Piper,Home Office,West,Tables 751,Furniture,Tables,1,169.35,0.15,Wire,Wholesale,143.95,138.87,5.08
2023-01-22,SO-10152,Tyrell Corp,Home Office,Central,Phones 402,Technology,Phones,1,342.07,0.0,PayPal,Wholesale,342.07,266.81,75.26
2023-01-22,SO-10157,Gringotts,Home Office,Central,Bookcases 210,Furniture,Bookcases,1,195.25,0.2,Wire,Retail,156.2,160.11,-3.91
2023-01-22,SO-10156,Pied Piper,Consumer,South,Chairs 565,Furniture,Chairs,2,443.55,0.0,PayPal,Wholesale,887.1,727.42,159.68
2023-01-22,SO-10158,Acme Corp,Home Office,Central,Phones 750,Technology,Phones,1,278.03,0.0,Cash,Wholesale,278.03,216.86,61.17
2023-01-22,SO-10153,Oscorp,Consumer,West,Copiers 643,Technology,Copiers,5,259.93,0.0,PayPal,Online,1299.65,1013.75,285.9
2023-01-23,SO-10160,Globex Ltd,Consumer,East,Paper 497,Office Supplies,Paper,1,492.91,0.0,Cash,Retail,492.91,354.9,138.01
2023-01-23,SO-10164,Oscorp,Consumer,Central,Machines 193,Technology,Machines,3,466.73,0.0,Wire,Wholesale,1400.19,1092.15,308.04
2023-01-23,SO-10167,Acme Corp,Consumer,Central,Copiers 917,Technology,Copiers,3,452.99,0.0,Wire,Online,1358.97,1059.99,298.98
2023-01-23,SO-10163,Umbrella Co,Consumer,Central,Art 657,Office Supplies,Art,1,127.09,0.15,PayPal,Online,108.03,91.5,16.53
2023-01-23,SO-10168,Aperture Labs,Consumer,East,Copiers 908,Technology,Copiers,1,227.04,0.05,Wire,Wholesale,215.69,177.09,38.6
2023-01-24,SO-10170,Globex Ltd,Corporate,East,Bookcases 625,Furniture,Bookcases,1,208.08,0.0,Card,Retail,208.08,170.63,37.45
2023-01-24,SO-10178,Globex Ltd,Consumer,East,Chairs 862,Furniture,Chairs,1,88.17,0.0,PayPal,Online,88.17,72.3,15.87
2023-01-24,SO-10177,Oscorp,Home Office,Central,Bookcases 256,Furniture,Bookcases,1,476.87,0.0,Cash,Online,476.87,391.03,85.84
2023-01-24,SO-10169,Wayne Enterprises,Consumer,East,Chairs 229,Furniture,Chairs,2,459.86,0.05,Cash,Wholesale,873.73,754.18,119.55
2023-01-24,SO-10179,Cyberdyne,Home Office,East,Art 786,Office Supplies,Art,1,488.25,0.0,Card,Retail,488.25,351.54,136.71
2023-01-24,SO-10174,Tyrell Corp,Corporate,Central,Art 564,Office Supplies,Art,1,296.82,0.05,Cash,Online,281.98,213.71,68.27
2023-01-24,SO-10171,Cyberdyne,Home Office,West,Copiers 569,Technology,Copiers,1,454.92,0.0,Card,Online,454.92,354.84,100.08
2023-01-24,SO-10175,Pied Piper,Home Office,East,Paper 540,Office Supplies,Paper,1,524.29,0.0,Cash,Online,524.29,377.49,146.8
2023-01-24,SO-10173,Vehement Capital,Corporate,East,Paper 167,Office Supplies,Paper,1,370.4,0.0,Wire,Retail,370.4,266.69,103.71
2023-01-24,SO-10176,Oscorp,Corporate,Central,Furnishings 847,Furniture,Furnishings,1,562.45,0.0,Card,Retail,562.45,461.21,101.24
2023-01-25,SO-10181,Globex Ltd,Consumer,West,Storage 329,Office Supplies,Storage,1,280.93,0.0,Card,Retail,280.93,202.27,78.66
2023-01-25,SO-10183,Pied Piper,Home Office,East,Art 129,Office Supplies,Art,4,518.39,0.15,Wire,Retail,1762.53,1492.96,269.57
2023-01-25,SO-10184,Gringotts,Corporate,Central,Chairs 285,Furniture,Chairs,1,397.21,0.15,Wire,Wholesale,337.63,325.71,11.92
2023-01-25,SO-10180,Wayne Enterprises,Home Office,South,Copiers 714,Technology,Copiers,1,566.43,0.0,PayPal,Retail,566.43,441.82,124.61
2023-01-25,SO-10182,Hooli,Consumer,Central,Tables 926,Furniture,Tables,1,364.86,0.2,Cash,Wholesale,291.89,299.19,-7.3
2023-01-26,SO-10186,Oscorp,Corporate,South,Copiers 419,Technology,Copiers,1,428.2,0.2,PayPal,Wholesale,342.56,334.0,8.56
2023-01-26,SO-10193,Initech,Home Office,South,Paper 612,Office Supplies,Paper,1,330.15,0.0,PayPal,Online,330.15,237.71,92.44
2023-01-26,SO-10189,Stark Industries,Home Office,West,Copiers 540,Technology,Copiers,1,199.16,0.0,Card,Retail,199.16,155.34,43.82
2023-01-26,SO-10188,Globex Ltd,Corporate,Central,Storage 597,Office Supplies,Storage,1,467.75,0.0,Cash,Retail,467.75,336.78,130.97
2023-01-26,SO-10192,Stark Industries,Consumer,Central,Machines 864,Technology,Machines,1,218.24,0.0,Cash,Online,218.24,170.23,48.01
2023-01-26,SO-10185,Aperture Labs,Consumer,South,Phones 193,Technology,Phones,1,577.36,0.0,Wire,Retail,577.36,450.34,127.02
2023-01-27,SO-10197,Oscorp,Consumer,East,Furnishings 636,Furniture,Furnishings,3,385.65,0.1,Card,Retail,1041.25,948.69,92.56
2023-01-27,SO-10200,Gringotts,Consumer,West,Accessories 362,Technology,Accessories,1,168.38,0.1,Wire,Online,151.54,131.34,20.2
2023-01-27,SO-10194,Oscorp,Corporate,East,Machines 179,Technology,Machines,1,87.79,0.0,PayPal,Wholesale,87.79,68.48,19.31
2023-01-27,SO-10196,Acme Corp,Consumer,Central,Storage 951,Office Supplies,Storage,1,398.42,0.0,PayPal,Online,398.42,286.86,111.56
2023-01-27,SO-10195,Oscorp,Home Office,South,Storage 396,Office Supplies,Storage,1,82.67,0.15,Card,Retail,70.27,59.52,10.75
2023-01-27,SO-10199,Cyberdyne,Home Office,East,Paper 894,Office Supplies,Paper,3,109.94,0.0,PayPal,Retail,329.82,237.48,92.34
2023-01-28,SO-10204,Acme Corp,Home Office,Central,Copiers 572,Technology,Copiers,1,75.46,0.05,Cash,Online,71.69,58.86,12.83
2023-01-28,SO-10206,Tyrell Corp,Corporate,East,Paper 429,Office Supplies,Paper,1,572.72,0.1,Cash,Wholesale,515.45,412.36,103.09
2023-01-28,SO-10209,Wayne Enterprises,Corporate,Central,Bookcases 795,Furniture,Bookcases,1,576.27,0.05,Card,Wholesale,547.46,472.54,74.92
2023-01-28,SO-10210,Aperture Labs,Consumer,Central,Chairs 671,Furniture,Chairs,1,567.81,0.0,Cash,Retail,567.81,465.6,102.21
2023-01-28,SO-10205,Acme Corp,Corporate,Central,Phones 729,Technology,Phones,1,434.77,0.05,Cash,Retail,413.03,339.12,73.91
2023-01-29,SO-10215,Umbrella Co,Consumer,West,Phones 402,Technology,Phones,1,203.01,0.0,Card,Wholesale,203.01,158.35,44.66
2023-01-29,SO-10212,Gringotts,Consumer,South,Binders 417,Office Supplies,Binders,1,304.66,0.05,Cash,Wholesale,289.43,219.36,70.07
2023-01-29,SO-10217,Initech,Home Office,West,Paper 838,Office Supplies,Paper,1,356.85,0.0,Cash,Online,356.85,256.93,99.92
2023-01-29,SO-10211,Stark Industries,Corporate,West,Accessories 458,Technology,Accessories,1,289.99,0.15,PayPal,Wholesale,246.49,226.19,20.3
2023-01-29,SO-10218,Oscorp,Home Office,Central,Paper 554,Office Supplies,Paper,1,540.48,0.15,PayPal,Wholesale,459.41,389.15,70.26
2023-01-29,SO-10213,Pied Piper,Consumer,Central,Binders 761,Office Supplies,Binders,2,353.15,0.15,Cash,Wholesale,600.35,508.54,91.81
2023-01-30,SO-10223,Stark Industries,Home Office,South,Machines 193,Technology,Machines,1,416.46,0.0,Wire,Retail,416.46,324.84,91.62
2023-01-30,SO-10230,Globex Ltd,Home Office,South,Binders 747,Office Supplies,Binders,1,276.62,0.0,Wire,Wholesale,276.62,199.17,77.45
2023-01-30,SO-10220,Wayne Enterprises,Corporate,South,Furnishings 614,Furniture,Furnishings,1,289.76,0.0,Cash,Online,289.76,237.6,52.16
2023-01-30,SO-10222,Cyberdyne,Home Office,East,Binders 391,Office Supplies,Binders,1,19.18,0.0,Card,Online,19.18,13.81,5.37
2023-01-30,SO-10228,Acme Corp,Consumer,Central,Machines 213,Technology,Machines,1,464.32,0.0,PayPal,Online,464.32,362.17,102.15
2023-01-30,SO-10227,Hooli,Home Office,West,Furnishings 730,Furniture,Furnishings,1,383.05,0.0,Card,Online,383.05,314.1,68.95
2023-01-30,SO-10219,Pied Piper,Consumer,South,Paper 416,Office Supplies,Paper,1,535.06,0.0,Cash,Online,535.06,385.24,149.82
2023-01-30,SO-10221,Hooli,Home Office,West,Copiers 153,Technology,Copiers,3,276.83,0.05,Cash,Retail,788.97,647.79,141.18
2023-01-30,SO-10229,Stark Industries,Consumer,East,Machines 754,Technology,Machines,1,108.08,0.1,Cash,Online,97.27,84.3,12.97
2023-01-31,SO-10241,Gringotts,Corporate,South,Art 920,Office Supplies,Art,1,342.52,0.15,Card,Wholesale,291.14,246.61,44.53
2023-01-31,SO-10232,Aperture Labs,Home Office,East,Chairs 638,Furniture,Chairs,1,183.49,0.0,Card,Retail,183.49,150.46,33.03
2023-01-31,SO-10231,Initech,Corporate,Central,Copiers 346,Technology,Copiers,1,382.9,0.1,Cash,Online,344.61,298.66,45.95
2023-01-31,SO-10240,Oscorp,Home Office,South,Furnishings 447,Furniture,Furnishings,1,311.12,0.0,Wire,Retail,311.12,255.12,56.0
2023-01-31,SO-10239,Umbrella Co,Corporate,Central,Copiers 379,Technology,Copiers,1,493.61,0.0,Card,Retail,493.61,385.02,108.59
2023-01-31,SO-10234,Acme Corp,Consumer,Central,Tables 850,Furniture,Tables,1,400.91,0.0,Card,Wholesale,400.91,328.75,72.16
2023-01-31,SO-10235,Gringotts,Consumer,Central,Copiers 659,Technology,Copiers,1,207.01,0.0,PayPal,Wholesale,207.01,161.47,45.54
2023-02-01,SO-10248,Oscorp,Home Office,East,Machines 479,Technology,Machines,1,336.72,0.0,PayPal,Retail,336.72,262.64,74.08
2023-02-01,SO-10246,Aperture Labs,Corporate,South,Paper 131,Office Supplies,Paper,1,105.52,0.0,Wire,Wholesale,105.52,75.97,29.55
2023-02-01,SO-10253,Initech,Consumer,South,Art 783,Office Supplies,Art,1,487.33,0.05,PayPal,Wholesale,462.96,350.88,112.08
2023-02-01,SO-10247,Aperture Labs,Consumer,South,Phones 341,Technology,Phones,1,215.12,0.05,PayPal,Retail,204.36,167.79,36.57
2023-02-01,SO-10252,Vehement Capital,Consumer,South,Accessories 973,Technology,Accessories,4,455.0,0.0,Card,Retail,1820.0,1419.6,400.4
2023-02-01,SO-10249,Pied Piper,Home Office,East,Copiers 507,Technology,Copiers,2,226.97,0.05,PayPal,Wholesale,431.24,354.08,77.16
2023-02-02,SO-10255,Umbrella Co,Consumer,East,Accessories 909,Technology,Accessories,1,133.07,0.05,Cash,Online,126.42,103.79,22.63
2023-02-02,SO-10257,Stark Industries,Home Office,South,Storage 638,Office Supplies,Storage,1,328.57,0.1,Cash,Retail,295.71,236.57,59.14
2023-02-02,SO-10259,Cyberdyne,Consumer,Central,Paper 886,Office Supplies,Paper,2,519.43,0.05,Wire,Retail,986.92,747.98,238.94
2023-02-02,SO-10258,Hooli,Consumer,East,Chairs 560,Furniture,Chairs,2,42.51,0.2,Cash,Wholesale,68.02,69.72,-1.7
2023-02-03,SO-10260,Cyberdyne,Consumer,East,Paper 411,Office Supplies,Paper,3,74.53,0.0,Wire,Online,223.59,160.98,62.61
2023-02-03,SO-10265,Oscorp,Corporate,East,Art 757,Office Supplies,Art,1,307.06,0.0,PayPal,Retail,307.06,221.08,85.98
2023-02-03,SO-10266,Umbrella Co,Corporate,South,Chairs 805,Furniture,Chairs,2,476.48,0.0,Card,Online,952.96,781.42,171.54
2023-02-03,SO-10264,Acme Corp,Consumer,East,Copiers 766,Technology,Copiers,2,256.2,0.0,Wire,Wholesale,512.4,399.68,112.72
2023-02-04,SO-10275,Initech,Home Office,Central,Furnishings 474,Furniture,Furnishings,1,12.8,0.0,Card,Retail,12.8,10.5,2.3
2023-02-04,SO-10269,Cyberdyne,Corporate,East,Machines 225,Technology,Machines,1,250.39,0.15,PayPal,Retail,212.83,195.3,17.53
2023-02-04,SO-10271,Hooli,Corporate,West,Art 294,Office Supplies,Art,1,230.56,0.0,Wire,Retail,230.56,166.0,64.56
2023-02-04,SO-10268,Hooli,Home Office,Central,Furnishings 233,Furniture,Furnishings,3,52.73,0.0,PayPal,Wholesale,158.19,129.72,28.47
2023-02-04,SO-10273,Cyberdyne,Consumer,South,Copiers 149,Technology,Copiers,1,333.09,0.15,Card,Retail,283.13,259.81,23.32
2023-02-04,SO-10267,Wonka LLC,Corporate,South,Tables 448,Furniture,Tables,2,121.53,0.0,Wire,Retail,243.06,199.3,43.76
2023-02-05,SO-10279,Acme Corp,Consumer,East,Copiers 923,Technology,Copiers,1,324.6,0.0,Cash,Wholesale,324.6,253.19,71.41
2023-02-05,SO-10280,Wonka LLC,Home Office,West,Paper 435,Office Supplies,Paper,1,101.17,0.05,PayPal,Online,96.11,72.84,23.27
